State,Name,Title
DNC,Jason Rae,Secretary
DNC,Virginia McGregor,Treasurer
DNC,Tammy Duckworth,Vice Chair
DNC,Henry Muñoz,Vice Chair
DNC,Gretchen Whitmer,Vice Chair
DNC,Keisha Lance Bottoms,Vice Chair for Civic Engagement & Voter Protection
DNC,Ken Martin,Vice Chair; ASDC President; MN party chair
FL,Eric Dean,At-Large
FL,Karla Hernández-Mats,At-Large
FL,Shevrin Jones,At-Large
FL,Carol Pensky,At-Large
FL,Lonnie Stephenson,At-Large
FL,Nikki Fried,State Chair
FL,Daniel Henry,State Vice Chair
FL,Judy Mount,State-Elected DNC Member
FL,Juan Cuba,State-Elected DNC Member
FL,Ric Gable,State-Elected DNC Member
FL,Samuel Vilchez-Santiago,State-Elected DNC Member
FL,Samantha Herring,State-Elected DNC Member
FL,Sean Shaw,State-Elected DNC Member
FL,Lydia Hudson,State-Elected DNC Member
FL,Millie Herrera,State-Elected DNC Member
FL,Allison Minnerly,State-Elected DNC Member
FL,Pamela Castellana,State-Elected DNC Member
FL,Alan Cleninden,State-Elected DNC Member
GA,Nikema Williams,State Chair
GA,Matthew Wilson,State Vice Chair
GA,Maria Banjo,State-Elected DNC Member
GA,William Boddie,State-Elected DNC Member
GA,Wendy Davis,State-Elected DNC Member
GA,Van Johnson,State-Elected DNC Member
GA,Sandra Lee Williams,State-Elected DNC Member
GU,Anthony Babauta,State Chair
GU,Rikki Orsini,State Vice Chair
GU,Regine Biscoe Lee,State-Elected DNC Member
GU,Rory Respicio,State-Elected DNC Member
HI,Derek Turbin,State Chair
HI,Mina Morita,State Vice Chair
HI,Juanita Kawamoto,State-Elected DNC Member
HI,Bronson Silva,State-Elected DNC Member
IA,Jan Bauer,At-Large
IA,Sandy Opstvedt,At-Large
IA,Rita Hart,State Chair
IA,Gregory Christensen,State Vice Chair
IA,Scott Brennan,State-Elected DNC Member
IA,June Owens,State-Elected DNC Member
ID,Lauren Necochea,State Chair
ID,Evan Koch,State Vice Chair
ID,Terri Pickens,State-Elected DNC Member
ID,David Roth,State-Elected DNC Member
IL,Greg Kelley,At-Large
IL,Kwame Raoul,Dem Attorneys General Assn
IL,Michael Frerichs,Dem. St. Treasurers Assn.
IL,Maureen Pikarski,Natl. Dem. Ethnic Coord. Council
IL,Elizabeth Hernandez,State Chair
IL,Bobby Rush,State Vice Chair
IL,John Cullerton,State-Elected DNC Member
IL,Don Harmon,State-Elected DNC Member
IL,Daniel Hynes,State-Elected DNC Member
IL,Robin Kelly,State-Elected DNC Member
IL,Delia Ramirez,State-Elected DNC Member
IL,Emmanuel “Chris” Welch,State-Elected DNC Member
IL,Kristina Zahorik,State-Elected DNC Member
IN,Deborah Simon,At-Large
IN,Lacy Johnson,At-Large
IN,Michael Schmuhl,State Chair
IN,Myla Eldridge,State Vice Chair
IN,Patricia Yount,State-Elected DNC Member
IN,Karen Tallian,State-Elected DNC Member
IN,David Ray,State-Elected DNC Member
KS,Laura Kelly,DGA
KS,Jeanna Repass,State Chair
KS,Shaun Junkins,State Vice Chair
KS,Deann Mitchell,State-Elected DNC Member
KS,Henry Chamberlain,State-Elected DNC Member
KY,Colmon Elridge,State Chair
KY,Colleen Younger,State Vice Chair
KY,Jack Dulworth,State-Elected DNC Member
KY,Susanna French,State-Elected DNC Member
KY,Andy Beshear,DGA (incoming char)
LA,Neal Tandon,High School Dems. of America
LA,Randal Gaines,State Chair
LA,Katie Darling,State Vice Chair
LA,Kyle Green,State-Elected DNC Member
LA,Michele Johnson,State-Elected DNC Member
MA,James Roosevelt,At-Large
MA,Edward Kelly,At-Large
MA,Deborah Goldberg,Dem. St. Treasurers Assn.
MA,Kim Driscoll,Lt. Gov.
MA,Stephen Kerrigan,State Chair
MA,Debra Kozikowski,State Vice Chair
MA,Brenda Brathwaite,State-Elected DNC Member
MA,David O'Brien,State-Elected DNC Member
MA,Karen Payne,State-Elected DNC Member
MA,Melvin Poindexter,State-Elected DNC Member
MD,Yvette Lewis,At-Large
MD,Roxanne Brown,At-Large
MD,Rachana Desai Martin,At-Large
MD,Marcus Mason,At-Large
MD,Larry Cohen,At-Large
MD,Maria Cordone,Natl. Dem. Seniors Coord. Council
MD,Ken Ulman,State Chair
MD,Charlene Dukes,State Vice Chair
MD,Bel Leong-Hong,State-Elected DNC Member
MD,Robert Kresslein,State-Elected DNC Member
MD,Cheryl Landis,State-Elected DNC Member
MD,Robbie Leonard,State-Elected DNC Member
ME,Charles Dingman,State Chair
ME,Imke Jandreau,State Vice Chair
ME,BJ McCollister,State-Elected DNC Member
ME,Rachel Talbot Ross,State-Elected DNC Member
MI,Barry Goodman,At-Large
MI,Angela Rogensues,Dem. Municipal Officials
MI,Debbie Stabenow,DSCC
MI,Dave Woodward,Natl. Dem. County Officials
MI,Virgie Rollins,Natl. Fed. of Dem. Women
MI,Lavora Barnes,State Chair
MI,Jason Morgan,State Vice Chair
MI,Debbie Dingell,State-Elected DNC Member
MI,Daryl Newman,State-Elected DNC Member
MI,Shauna Ryder Diggs,State-Elected DNC Member
MI,Art Reyes,State-Elected DNC Member
MI,Brett Smith,State-Elected DNC Member
MI,Melanie Brown,State-Elected DNC Member
MN,Melvin Carter,At-Large
MN,Steve Simon,Dem Assn of Secretaries of State
MN,Debbie Goettel,Natl. Dem. County Officials
MN,Marge Hoffa,State Vice Chair
MN,Ben Hackett,State-Elected DNC Member
MN,Ron Harris,State-Elected DNC Member
MN,Leah Midgarden,State-Elected DNC Member
MN,Latonya Reeves,State-Elected DNC Member
MN,Quentin Wathum-Ocama,Young Democrats of America
MO,Russ Carnahan,State Chair
MO,Yvonne Reeves-Chong,State Vice Chair
MO,Kenneth Bacchus,State-Elected DNC Member
MO,Mary Elizabeth Dorsey,State-Elected DNC Member
MO,Nanda Nunnelly,State-Elected DNC Member
MP,Jonathan Cabrera,State Chair
MP,Luella Marciano,State Vice Chair
MP,Christina Sablan,State-Elected DNC Member
MP,Michael White,State-Elected DNC Member
MS,Cheikh Taylor,State Chair
MS,Jodie Brown,State Vice Chair
MS,Jacqueline Amos,State-Elected DNC Member
MS,David Blount,State-Elected DNC Member
MT,Robyn Driscoll,State Chair
MT,Pat Noonan,State Vice Chair
MT,Laurie Bishop,State-Elected DNC Member
MT,Donavon Hawk,State-Elected DNC Member
NC,Diane Robertson,At-Large
NC,Robert Reives,Dem. Legislative Campaign Comm.
NC,Barbara Faison,Natl. Fed. of Dem. Women
NC,Anderson Clayton,State Chair
NC,Jonah Garson,State Vice Chair
NC,Denise Adams,State-Elected DNC Member
NC,Shelia Huggins,State-Elected DNC Member
NC,Matt Hughes,State-Elected DNC Member
NC,Jennifer Marshall,State-Elected DNC Member
NC,Vinod Thomas,State-Elected DNC Member
NC,John Verdejo,State-Elected DNC Member
NC,Katherine Jeanes,Young Democrats of America
ND,Adam Goldwyn,State Chair
ND,Lisa DeVille,State Vice Chair
ND,Renae Aarfor,State-Elected DNC Member
ND,Jamie Selzler,State-Elected DNC Member
NE,Jane Kleeb,State Chair
NE,Ron Kaminski,State Vice Chair
NE,Sharlette Schwenninger,State-Elected DNC Member
NE,Sean Flowerday,State-Elected DNC Member
NH,Joanne Dowdell,At-Large
NH,Raymond Buckley,State Chair
NH,Martha Fuller Clark,State Vice Chair
NH,Bill Shaheen,State-Elected DNC Member
NH,Donna Soucy,State-Elected DNC Member
NJ,John Costa,At-Large
NJ,LeRoy Jones,State Chair
NJ,Marguerite “Peg” Schaffer,State Vice Chair
NJ,Modia Butler,State-Elected DNC Member
NJ,John Graham,State-Elected DNC Member
NJ,Marcia Marley,State-Elected DNC Member
NJ,Laura Matos,State-Elected DNC Member
NJ,Bernadette McPherson,State-Elected DNC Member
NM,Michelle Lujan Grisham,DGA
NM,Jessica Velasquez,State Chair
NM,Manny Crespín,State Vice Chair
NM,Martin Chavez,State-Elected DNC Member
NM,Trish Ruiz,State-Elected DNC Member
NV,Artie Blanco,At-Large
NV,Sonja Whitten,At-Large
NV,Daniele Monroe-Moreno,State Chair
NV,Daniel Corona,State Vice Chair
NV,Sam Crunkilton,State-Elected DNC Member
NV,Tanner Hale,State-Elected DNC Member
NY,Leah Daughtry,At-Large
NY,Randi Weingarten,At-Large
NY,David Huynh,At-Large
NY,Christopher Lowe,At-Large
NY,Hakeem Jeffries,Congressional Representatives
NY,Andrea Stewart-Cousins,Dem. Legislative Campaign Comm.
NY,Charles Schumer,DSCC
NY,Jay Jacobs,State Chair
NY,Christine Quinn,State Vice Chair
NY,Stuart Appelbaum,State-Elected DNC Member
NY,Lynne Boecher,State-Elected DNC Member
NY,Catalina Cruz,State-Elected DNC Member
NY,Antonio Delgado,State-Elected DNC Member
NY,Hazel Dukes,State-Elected DNC Member
NY,Daniel French,State-Elected DNC Member
NY,Emily Giske,State-Elected DNC Member
NY,Carl Heastie,State-Elected DNC Member
NY,Minsun Kim,State-Elected DNC Member
NY,Michael Reich,State-Elected DNC Member
NY,Robert Zimmerman,State-Elected DNC Member
NY,Stephanie Campanha Wheaton,Young Democrats of America
OH,Justin Bibb,DMA
OH,Denise Driehaus,Natl. Dem. County Officials
OH,Elizabeth Walters,State Chair
OH,Andre Washington,State Vice Chair
OH,James Weston,State-Elected DNC Member
OH,Mark Mallory,State-Elected DNC Member
OH,Patricia Frost-Brooks,State-Elected DNC Member
OH,Melissa Cropper,State-Elected DNC Member
OH,Tim Burga,State-Elected DNC Member
OH,Joyce Beatty,State-Elected DNC Member
OK,Cyndi Munson,Dem. Legislative Campaign Comm.
OK,Alicia Andrews,State Chair
OK,Cory Williams,State Vice Chair
OK,Kalyn Free,State-Elected DNC Member
OK,David Walters,State-Elected DNC Member
OR,Rosa Colquitt,State Chair
OR,Kim Schmith,State Vice Chair
OR,Diane Grover,State-Elected DNC Member
OR,Steph Newton Azorr,State-Elected DNC Member
OR,Kien Truong,State-Elected DNC Member
PA,Paige Cognetti,At-Large
PA,Fred Redmond,At-Large
PA,James Williams,At-Large
PA,Austin Davis,Dem. Lt. Governors Assn.
PA,Sharif Street,State Chair
PA,Peggy Grove,State Vice Chair
PA,Cindy Bass,State-Elected DNC Member
PA,Todd Eagen,State-Elected DNC Member
PA,Lauren Hergert,State-Elected DNC Member
PA,Jimmy Harrity,State-Elected DNC Member
PA,Peggy Lucas,State-Elected DNC Member
PA,Sean Meloy,State-Elected DNC Member
PA,Michelle Milan McFall,State-Elected DNC Member
PR,Luis Davila Pernas,State Chair
PR,Emarielys Marrero,State Vice Chair
PR,Andres Guillemard,State-Elected DNC Member
PR,Rosemarie Vizcarrondo,State-Elected DNC Member
RI,Elizabeth Beretta-Perik,State Chair
RI,James Diossa,State Vice Chair
RI,Joseph Paolino,State-Elected DNC Member
RI,Nicole Verdi,State-Elected DNC Member
SC,Kaye Koonce,At-Large
SC,Samuel Green Sr,At-Large
SC,Christale Spain,State Chair
SC,Colleen Condon,State Vice Chair
SC,Carol Fowler,State-Elected DNC Member
SC,Bryanta Maxwell,State-Elected DNC Member
SC,Clay Middleton,State-Elected DNC Member
SD,Shane Merrill,State Chair
SD,Jessica Meyers,State Vice Chair
SD,Deb Knecht,State-Elected DNC Member
SD,Dennis Olson,State-Elected DNC Member
TN,Ray Curry,At-Large
TN,Hendrell Remus,State Chair
TN,Rachel Campbell,State Vice Chair
TN,Carol Abney,State-Elected DNC Member
TN,Bill Owen,State-Elected DNC Member
TN,Deborah Reed,State-Elected DNC Member
TX,Sohali Vaddula,College Democrats of America
TX,Lorraine Miller,At-Large
TX,Robert Martinez,At-Large
TX,Gilberto Hinojosa,State Chair
TX,Shay Wyrick Cathey,State Vice Chair
TX,Dennis Speight,State-Elected DNC Member
TX,Leonard Aguilar,State-Elected DNC Member
TX,Robert Alonzo,State-Elected DNC Member
TX,Tiamjon Forbes,State-Elected DNC Member
TX,Becca Moyer DeFelice,State-Elected DNC Member
TX,Rose Salas,State-Elected DNC Member
TX,Kerrigan Sanders,State-Elected DNC Member
TX,Jeff Strater,State-Elected DNC Member
TX,Senfronia Thompson,State-Elected DNC Member
TX,Andre Treiber,State-Elected DNC Member
TX,Celina Vasquez,State-Elected DNC Member
TX,Royce West,State-Elected DNC Member
UT,Diane Lewis,State Chair
UT,Oscar Mata,State Vice Chair
UT,Clare Collard,State-Elected DNC Member
UT,Brad Townley,State-Elected DNC Member
VA,Elaine Kamarck,At-Large
VA,Timothy Driscoll,At-Large
VA,Anthony Perrone,At-Large
VA,Levar Stoney,DMA
VA,Susan Swecker,State Chair
VA,Marc Broklawski,State Vice Chair
VA,Jennifer Carroll-Foy,State-Elected DNC Member
VA,Doris Crouse-Mays,State-Elected DNC Member
VA,Bryan Graham,State-Elected DNC Member
VA,Harry Khanna,State-Elected DNC Member
VA,Tram Nguyen,State-Elected DNC Member
VI,Carol Burke,State Chair
VI,Kevin Rodriquez,State Vice Chair
VI,Gary Molloy,State-Elected DNC Member
VI,Riise Richards,State-Elected DNC Member
VT,David Glidden,State Chair
VT,Amanda Gustin,State Vice Chair
VT,Elaine Haney,State-Elected DNC Member
VT,Ryan McLaren,State-Elected DNC Member
WA,Gary Locke,At-Large
WA,Rion Ramirez,At-Large
WA,Marilyn Strickland,Congressional Representatives
WA,Shasti Conrad,State Chair
WA,David McDonald,State-Elected DNC Member
WA,Sophia Danenberg,State-Elected DNC Member
WA,Sharon Mast,State-Elected DNC Member
WA,Javier Valdez,State-Elected DNC Member
WA,David Green,State Vice Chair
WI,Mahlon Mitchell,At-Large
WI,Bryan Kennedy,Dem. Municipal Officials
WI,Ben Wikler,State Chair
WI,Felesia Martin,State Vice Chair
WI,Alex Lasry,State-Elected DNC Member
WI,Arvina Martin,State-Elected DNC Member
WI,Tomika Vukovic,State-Elected DNC Member
WI,Andrew Werthmann,State-Elected DNC Member
WV,Mike Pushkin,State Chair
WV,Teresa Toriseva,State Vice Chair
WV,Sam Petsonk,State-Elected DNC Member
WV,Selina Vickers,State-Elected DNC Member
WY,Joseph Barbuto,State Chair
WY,Erin O'Doherty,State Vice Chair
WY,Kimberly Bartlett,State-Elected DNC Member
WY,Lucas Fralick,State-Elected DNC Member
