relation_id,subject,predicate,object,confidence,title
starintel:relation:rtx-governance-public-policy-committee-part-of-company,starintel:org:rtx-governance-public-policy-committee,part_of,starintel:org:rtx,0.98,RTX Governance and Public Policy Committee is a board committee of RTX
starintel:relation:rtx-governance-public-policy-committee-oversees-pac,starintel:org:rtx-governance-public-policy-committee,oversees_political_spending_and_pac,starintel:org:rtx-employees-pac,0.96,RTX Governance and Public Policy Committee oversees the corporate PAC
starintel:relation:boeing-governance-public-policy-committee-part-of-company,starintel:org:boeing-governance-public-policy-committee,part_of,starintel:org:boeing,0.98,Boeing Governance & Public Policy Committee is a board committee of Boeing
starintel:relation:boeing-governance-public-policy-committee-oversees-pac,starintel:org:boeing-governance-public-policy-committee,oversees_political_spending_and_pac,starintel:org:boeing-company-pac,0.96,Boeing Governance & Public Policy Committee oversees the corporate PAC
starintel:relation:northrop-policy-committee-part-of-company,starintel:org:northrop-policy-committee,part_of,starintel:org:northrop-grumman,0.98,Northrop Grumman Policy Committee is a board committee of Northrop Grumman
starintel:relation:northrop-policy-committee-oversees-pac,starintel:org:northrop-policy-committee,oversees_political_spending_and_pac,starintel:org:northrop-grumman-employees-pac,0.96,Northrop Grumman Policy Committee oversees the corporate PAC
starintel:relation:krissi-fauser-leads-northrop-pac,starintel:person:krissi-fauser,leads,starintel:org:northrop-grumman-employees-pac,0.99,Krissi Fauser leads the Northrop Grumman employee PAC
starintel:relation:robert-bradway-chairs-boeing-gpp,starintel:person:robert-bradway,chairs,starintel:org:boeing-governance-public-policy-committee,1.0,Robert Bradway chairs Boeing's Governance & Public Policy Committee
starintel:relation:mortimer-buckley-member-boeing-gpp,starintel:person:mortimer-buckley,member_of,starintel:org:boeing-governance-public-policy-committee,1.0,Mortimer Buckley serves on Boeing's Governance & Public Policy Committee
starintel:relation:steven-mollenkopf-member-boeing-gpp,starintel:person:steven-mollenkopf,member_of,starintel:org:boeing-governance-public-policy-committee,1.0,Steven Mollenkopf serves on Boeing's Governance & Public Policy Committee
starintel:relation:eric-fanning-member-aia-executive-committee,starintel:person:eric-fanning,member_of,starintel:org:aia-executive-committee,1.0,Eric Fanning serves on the AIA Executive Committee
starintel:relation:phebe-novakovic-member-aia-executive-committee,starintel:person:phebe-novakovic,member_of,starintel:org:aia-executive-committee,1.0,Phebe Novakovic serves on the AIA Executive Committee
starintel:relation:phebe-novakovic-leads-general-dynamics,starintel:person:phebe-novakovic,leads,starintel:org:general-dynamics,0.98,Phebe Novakovic leads General Dynamics
starintel:relation:general-dynamics-represented-on-aia-board,starintel:org:general-dynamics,represented_on,starintel:org:aerospace-industries-association,0.98,General Dynamics is represented in AIA governance
starintel:relation:christopher-calio-member-aia-executive-committee,starintel:person:christopher-calio,member_of,starintel:org:aia-executive-committee,1.0,Christopher T. Calio serves on the AIA Executive Committee
starintel:relation:christopher-calio-leads-rtx,starintel:person:christopher-calio,leads,starintel:org:rtx,0.98,Christopher T. Calio leads RTX
starintel:relation:rtx-represented-on-aia-board,starintel:org:rtx,represented_on,starintel:org:aerospace-industries-association,0.98,RTX is represented in AIA governance
starintel:relation:kelly-ortberg-member-aia-executive-committee,starintel:person:kelly-ortberg,member_of,starintel:org:aia-executive-committee,1.0,Kelly Ortberg serves on the AIA Executive Committee
starintel:relation:kelly-ortberg-leads-boeing,starintel:person:kelly-ortberg,leads,starintel:org:boeing,0.98,Kelly Ortberg leads Boeing
starintel:relation:boeing-represented-on-aia-board,starintel:org:boeing,represented_on,starintel:org:aerospace-industries-association,0.98,Boeing is represented in AIA governance
starintel:relation:kathy-warden-member-aia-executive-committee,starintel:person:kathy-warden,member_of,starintel:org:aia-executive-committee,1.0,Kathy Warden serves on the AIA Executive Committee
starintel:relation:kathy-warden-leads-northrop-grumman,starintel:person:kathy-warden,leads,starintel:org:northrop-grumman,0.98,Kathy Warden leads Northrop Grumman
starintel:relation:northrop-grumman-represented-on-aia-board,starintel:org:northrop-grumman,represented_on,starintel:org:aerospace-industries-association,0.98,Northrop Grumman is represented in AIA governance
starintel:relation:christopher-kubasik-member-aia-executive-committee,starintel:person:christopher-kubasik,member_of,starintel:org:aia-executive-committee,1.0,Christopher E. Kubasik serves on the AIA Executive Committee
starintel:relation:christopher-kubasik-leads-l3harris,starintel:person:christopher-kubasik,leads,starintel:org:l3harris,0.98,Christopher E. Kubasik leads L3Harris
starintel:relation:l3harris-represented-on-aia-board,starintel:org:l3harris,represented_on,starintel:org:aerospace-industries-association,0.98,L3Harris is represented in AIA governance
starintel:relation:tom-arseneault-member-aia-executive-committee,starintel:person:tom-arseneault,member_of,starintel:org:aia-executive-committee,1.0,Tom Arseneault serves on the AIA Executive Committee
starintel:relation:tom-arseneault-leads-bae-systems-inc,starintel:person:tom-arseneault,leads,starintel:org:bae-systems-inc,0.98,Tom Arseneault leads BAE Systems Inc.
starintel:relation:bae-systems-inc-represented-on-aia-board,starintel:org:bae-systems-inc,represented_on,starintel:org:aerospace-industries-association,0.98,BAE Systems Inc. is represented in AIA governance
starintel:relation:thomas-bell-member-aia-executive-committee,starintel:person:thomas-bell,member_of,starintel:org:aia-executive-committee,1.0,Thomas Bell serves on the AIA Executive Committee
starintel:relation:thomas-bell-leads-leidos,starintel:person:thomas-bell,leads,starintel:org:leidos,0.98,Thomas Bell leads Leidos
starintel:relation:leidos-represented-on-aia-board,starintel:org:leidos,represented_on,starintel:org:aerospace-industries-association,0.98,Leidos is represented in AIA governance
starintel:relation:jim-currier-member-aia-executive-committee,starintel:person:jim-currier,member_of,starintel:org:aia-executive-committee,1.0,Jim Currier serves on the AIA Executive Committee
starintel:relation:jim-currier-leads-honeywell-aerospace,starintel:person:jim-currier,leads,starintel:org:honeywell-aerospace,0.98,Jim Currier leads Honeywell Aerospace
starintel:relation:honeywell-aerospace-represented-on-aia-board,starintel:org:honeywell-aerospace,represented_on,starintel:org:aerospace-industries-association,0.98,Honeywell Aerospace is represented in AIA governance
starintel:relation:scott-donnelly-member-aia-executive-committee,starintel:person:scott-donnelly,member_of,starintel:org:aia-executive-committee,1.0,Scott C. Donnelly serves on the AIA Executive Committee
starintel:relation:scott-donnelly-leads-textron,starintel:person:scott-donnelly,leads,starintel:org:textron,0.98,Scott C. Donnelly leads Textron
starintel:relation:textron-represented-on-aia-board,starintel:org:textron,represented_on,starintel:org:aerospace-industries-association,0.98,Textron is represented in AIA governance
starintel:relation:amy-gowder-member-aia-executive-committee,starintel:person:amy-gowder,member_of,starintel:org:aia-executive-committee,1.0,Amy Gowder serves on the AIA Executive Committee
starintel:relation:amy-gowder-leads-ge-aerospace,starintel:person:amy-gowder,leads,starintel:org:ge-aerospace,0.98,Amy Gowder leads GE Aerospace
starintel:relation:ge-aerospace-represented-on-aia-board,starintel:org:ge-aerospace,represented_on,starintel:org:aerospace-industries-association,0.98,GE Aerospace is represented in AIA governance
starintel:relation:christopher-kastner-member-aia-executive-committee,starintel:person:christopher-kastner,member_of,starintel:org:aia-executive-committee,1.0,Christopher D. Kastner serves on the AIA Executive Committee
starintel:relation:christopher-kastner-leads-hii,starintel:person:christopher-kastner,leads,starintel:org:hii,0.98,Christopher D. Kastner leads HII
starintel:relation:hii-represented-on-aia-board,starintel:org:hii,represented_on,starintel:org:aerospace-industries-association,0.98,HII is represented in AIA governance
starintel:relation:aia-executive-committee-part-of-aia,starintel:org:aia-executive-committee,part_of,starintel:org:aerospace-industries-association,1.0,AIA Executive Committee is part of AIA governance
starintel:relation:eric-fanning-leads-aia,starintel:person:eric-fanning,leads,starintel:org:aerospace-industries-association,1.0,Eric Fanning leads AIA
starintel:relation:phebe-novakovic-chairs-aia,starintel:person:phebe-novakovic,chairs,starintel:org:aerospace-industries-association,1.0,Phebe Novakovic chairs AIA in 2026
starintel:relation:christopher-calio-vice-chairs-aia,starintel:person:christopher-calio,vice_chairs,starintel:org:aerospace-industries-association,1.0,Christopher Calio is AIA vice chair in 2026
starintel:relation:kelli-ayotte-fara-unresolved-short-form-show-faith,starintel:person:kelli-ayotte-fara-unresolved,registered_short_form_under,starintel:org:show-faith-by-works,0.93,Kelli Ayotte filed a FARA short form under Show Faith by Works
starintel:relation:barbara-peil-short-form-show-faith,starintel:person:barbara-peil,registered_short_form_under,starintel:org:show-faith-by-works,0.93,Barbara Peil filed a FARA short form under Show Faith by Works
starintel:relation:matthew-davis-show-faith-short-form-show-faith,starintel:person:matthew-davis-show-faith,registered_short_form_under,starintel:org:show-faith-by-works,0.93,Matthew Davis filed a FARA short form under Show Faith by Works
starintel:relation:tye-mcclain-short-form-show-faith,starintel:person:tye-mcclain,registered_short_form_under,starintel:org:show-faith-by-works,0.93,Tye McClain filed a FARA short form under Show Faith by Works
starintel:relation:melissa-lundie-short-form-show-faith,starintel:person:melissa-lundie,registered_short_form_under,starintel:org:show-faith-by-works,0.93,Melissa Lundie filed a FARA short form under Show Faith by Works
starintel:relation:robert-pursley-short-form-show-faith,starintel:person:robert-pursley,registered_short_form_under,starintel:org:show-faith-by-works,0.93,Robert Pursley filed a FARA short form under Show Faith by Works
starintel:relation:emily-hemingway-short-form-show-faith,starintel:person:emily-hemingway,registered_short_form_under,starintel:org:show-faith-by-works,0.93,Emily Hemingway filed a FARA short form under Show Faith by Works
starintel:relation:richard-tuong-do-short-form-show-faith,starintel:person:richard-tuong-do,registered_short_form_under,starintel:org:show-faith-by-works,0.93,Richard Tuong Do filed a FARA short form under Show Faith by Works
starintel:relation:chad-jonson-schnitger-short-form-show-faith,starintel:person:chad-jonson-schnitger,registered_short_form_under,starintel:org:show-faith-by-works,0.93,Chad Jonson Schnitger filed a FARA short form under Show Faith by Works
starintel:relation:bluelight-active-fara-b-yahad-2026,starintel:org:bluelight-strategies,registered_under_fara_for,starintel:org:b-yahad-natzliach,1.0,Bluelight Strategies represented B Yahad Natzliach in an active FARA registration
starintel:relation:bridges-active-fara-government-israel-2026,starintel:org:bridges-partners,registered_under_fara_for,starintel:org:government-of-israel,1.0,Bridges Partners had an active FARA relationship for the Government of Israel
starintel:relation:steptoe-active-fara-israel-trade-mission-2026,starintel:org:steptoe,registered_under_fara_for,starintel:org:economic-trade-mission-israel-embassy,1.0,Steptoe had an active FARA relationship for Israel's Economic and Trade Mission
starintel:relation:holland-knight-active-fara-israel-mfa-2026,starintel:org:holland-knight,registered_under_fara_for,starintel:org:israel-ministry-foreign-affairs,1.0,Holland & Knight had an active FARA relationship for Israel's Ministry of Foreign Affairs
