entity_type,name,role,organization,jurisdiction,us_tie_type,us_counterparty_or_vehicle,evidence_status,confidence,source,notes
person,Yaron Rosenthal,Mayor / board member,Yesha Council / Gush Etzion,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Chaim Mendel Shaked,Mayor / board member,Yesha Council / Har Adar,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Eliram Azulai,Mayor / board member,Yesha Council / Har Hebron,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Eyal Gelman,Mayor / board member,Yesha Council / Hebron,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,David Elhayani,Mayor / board member,Yesha Council / Jordan Valley,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Yonatan Kuznitz,Mayor / board member,Yesha Council / Karnei Shomron,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Oziel Vatik,Mayor / board member,Yesha Council / Kedumim,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Yisrael Birmason,Mayor / board member,Yesha Council / Kiryat Arba,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Guy Yifrach,Mayor / board member,Yesha Council / Ma'ale Adumim,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Shlomo Lalush,Mayor / board member,Yesha Council / Ma'ale Efraim,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Aryeh Cohen,Mayor / board member,Yesha Council / Megilot Dead Sea,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Ya'akov Guterman,Mayor / board member,Yesha Council / Modi'in Illit,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Or Piron Zomer,Mayor / board member,Yesha Council / Oranit,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Avi Roeh,Mayor / board member,Yesha Council / Sha'ar Shomron,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Yossi Dagan,Mayor / board member,Yesha Council / Shomron,Israel,Organization-level bridge only,American Friends of Judea and Samaria; Yesha delegations,unresolved-person-specific,0.55,https://myesha.org.il/?CategoryID=430,No sufficiently direct person-specific U.S. tie verified in this pass.
person,Omer Rahamim,CEO,Yesha Council,Israel,U.S. policy event,CPAC sovereignty resolution,verified-direct,0.90,https://www.jpost.com/international/article-843089,Public reporting identified Rahamim with Yisrael Ganz and Amichai Chikli around CPAC activity.
person,Ruth Lieberman,Political consultant / delegation host,Foundation legal identity unresolved,Israel,Congressional travel and meetings,Mike Johnson; Mike Lee; USIEA,verified-direct,0.98,https://www.reuters.com/world/middle-east/israeli-settlers-court-republican-religious-right-after-hamas-attacks-2024-07-20/,"Resolve exact foundation name, filings, trip sponsors, and itineraries."
person,Eliana Passentin,Official,Binyamin Regional Council,Israel,Washington delegation,Mike Johnson,verified-direct,0.94,https://www.reuters.com/world/middle-east/israeli-settlers-court-republican-religious-right-after-hamas-attacks-2024-07-20/,Reuters photograph caption and delegation reporting.
person,Ohad Tal,Member of Knesset,Religious Zionism,Israel,Evangelical and policy outreach,Keep God's Land; Heritage Foundation; Rick Scott; Claudia Tenney,verified-direct,0.98,https://www.reuters.com/world/middle-east/israeli-settlers-court-republican-religious-right-after-hamas-attacks-2024-07-20/,Explicitly described strengthening evangelical ties as a main goal.
person,Pesach Wolicki,Rabbi / organizer,Keep God's Land,Israel/United States,Religious advocacy coalition,U.S. religious media; Heritage Foundation; Republican audiences,verified-direct,0.96,https://www.reuters.com/world/middle-east/israeli-settlers-court-republican-religious-right-after-hamas-attacks-2024-07-20/,Coalition membership and funding remain unresolved.
person,Daniella Weiss,Director,Nachala Settlement Movement,Israel,English fundraising and partner infrastructure,Jewish Heritage Project; U.S. legal vehicle unresolved,verified-org-level,0.85,https://www.nachalaisrael.org/our-team,"EU sanctions determination must remain attributed, not converted into a criminal conviction."
person,Lital Slonim,Manager of Public Relations,Nachala Settlement Movement,Israel,English-language communications,Nachala English site; Jewish Heritage Project,verified-org-level,0.78,https://www.nachalaisrael.org/our-team,No person-specific U.S. filing or delegation verified.
person,Meir Deutsch,Director General,Regavim,Israel,U.S. tax-exempt fundraising at organization level,The Regavim Policy Forum,verified-org-level,0.98,https://www.regavim.org/support-us/,No person-specific U.S. officer role verified in this pass.
person,Naomi Kahn,"Director, International Division",Regavim,Israel,"International media, diplomatic, and influencer outreach",Specific U.S. counterpart unresolved,verified-function,0.90,https://www.regavim.org/divisions/,"Collect U.S. appearances, briefings, and meetings."
person,Moshe Shmueli,Judea and Samaria Coordinator,Regavim,Israel,Organization-level bridge only,The Regavim Policy Forum,unresolved-person-specific,0.55,https://www.regavim.org/divisions/,No direct U.S. tie verified.
person,Ro'i Drucker,Judea and Samaria Coordinator,Regavim,Israel,Organization-level bridge only,The Regavim Policy Forum,unresolved-person-specific,0.55,https://www.regavim.org/divisions/,No direct U.S. tie verified.
person,Avraham Binyamin,Legal Division contact,Regavim,Israel,Organization-level bridge only,The Regavim Policy Forum,unresolved-person-specific,0.55,https://www.regavim.org/divisions/,No direct U.S. tie verified.
person,Yehuda Kapach,South Coordinator,Regavim,Israel,Organization-level bridge only,The Regavim Policy Forum,unresolved-person-specific,0.55,https://www.regavim.org/divisions/,No direct U.S. tie verified.
person,Ze'ev Hever,Secretary-General in public reporting,Amana,Israel,U.S. fundraising and recipient graph unresolved,Potential U.S. charities and donors,unresolved,0.65,https://amana.co.il/about-2/,Current official leadership roster and U.S. financial bridge require further collection.
person,Avichai Suissa,President / former president in sanctions reporting,Hashomer Yosh,Israel,U.S. vehicle unresolved,Do not conflate with HaShomer HaChadash,unresolved,0.70,https://hashomeryosh.org/home-en/?d=ltr,Current leadership status needs official registry verification.
person,Yigal Dilmoni,Founder / CEO in public reporting,American Friends of Judea and Samaria,United States/Israel,U.S. nonprofit leadership,AFJS,verified-direct,0.94,https://afjs.org/,Former Yesha Council executive; normalize Form 990 and corporate filings.
person,Morton A. Klein,National President,Zionist Organization of America,United States,Congressional testimony,House Foreign Affairs MENA Subcommittee; AFJS map; Regavim citations,verified-direct,0.99,https://docs.house.gov/meetings/FA/FA13/20251210/118734/HHRG-119-FA13-Wstate-KleinM-20251210.pdf,"Testimony advocated Israeli sovereignty; source use proves amplification, not hidden coordination."
person,Elizabeth Berney,Director of Research and Special Projects,Zionist Organization of America,United States,Testimony production,House Foreign Affairs MENA Subcommittee,verified-direct,0.97,https://docs.house.gov/meetings/FA/FA13/20251210/118734/HHRG-119-FA13-Wstate-KleinM-20251210.pdf,Identified in testimony footnote as assisting with written testimony.
person,Heather Johnston,CEO,U.S. Israel Education Association,United States,Congressional travel,Mostly Republican members of Congress; settlement visits,verified-direct,0.95,https://www.reuters.com/world/middle-east/israeli-settlers-court-republican-religious-right-after-hamas-attacks-2024-07-20/,Resolve ethics disclosures and trip-level participants.
person,Tony Perkins,President; RNC delegate,Family Research Council,United States,Evangelical advocacy and visits,Keep God's Land; Gush Etzion; Netanyahu,verified-direct,0.96,https://www.reuters.com/world/middle-east/israeli-settlers-court-republican-religious-right-after-hamas-attacks-2024-07-20/,Reuters reported event and visit activity.
person,Claudia Tenney,U.S. Representative; H.R. 902 sponsor,U.S. House of Representatives,United States,Legislation and policy event,Keep God's Land; Heritage Foundation,verified-direct,0.99,https://www.congress.gov/bill/119th-congress/house-bill/902,Draft origin and outside contacts unresolved.
person,Tom Cotton,U.S. Senator; S. 384 sponsor,U.S. Senate,United States,Legislation,S. 384,verified-direct,0.99,https://www.congress.gov/bill/119th-congress/senate-bill/384,Outside contacts and drafting chain unresolved.
person,Rick Scott,U.S. Senator,U.S. Senate,United States,Policy event,Keep God's Land; Heritage Foundation,verified-direct,0.95,https://www.reuters.com/world/middle-east/israeli-settlers-court-republican-religious-right-after-hamas-attacks-2024-07-20/,Event participation verified.
person,Mike Johnson,Speaker of the U.S. House,U.S. House of Representatives,United States,Visits and meetings,Yisrael Ganz; Ruth Lieberman; Eliana Passentin,verified-direct,0.98,https://www.reuters.com/world/middle-east/israeli-settlers-court-republican-religious-right-after-hamas-attacks-2024-07-20/,Contact does not establish control or causation.
person,Mike Lee,U.S. Senator,U.S. Senate,United States,Visit and meetings,Ruth Lieberman; settler delegation,verified-direct,0.96,https://www.reuters.com/world/middle-east/israeli-settlers-court-republican-religious-right-after-hamas-attacks-2024-07-20/,Policy causation not established.
person,Mike Huckabee,U.S. political/diplomatic figure,United States government,United States,Settlement visit,Shilo,verified-visit,0.94,https://www.reuters.com/world/middle-east/israeli-settlers-set-sights-trump-support-full-control-west-bank-2024-11-23/,Sponsoring organization and downstream policy effect unresolved.
person,Pete Hegseth,U.S. political/diplomatic figure,United States government,United States,Settlement visit,Shilo,verified-visit,0.94,https://www.reuters.com/world/middle-east/israeli-settlers-set-sights-trump-support-full-control-west-bank-2024-11-23/,Sponsoring organization and downstream policy effect unresolved.
org,Yesha Council,Municipal umbrella and political arm,Yesha Council,Israel,U.S. nonprofit and delegations,AFJS; CPAC; U.S. officials,verified-direct,0.99,https://myesha.org.il/?CategoryID=419,Officially advocates sovereignty and preventing a Palestinian state between Jordan and the Mediterranean.
org,American Friends of Judea and Samaria,"U.S. education, fundraising, and infrastructure support",AFJS,United States,501(c)(3),EIN 88-2871507,verified-direct,0.98,https://afjs.org/,Officer and grant schedules require tax-filing normalization.
org,Regavim,"Israeli land-policy, field, legal, and advocacy organization",Regavim,Israel,U.S. tax-exempt channel,The Regavim Policy Forum,verified-direct,0.99,https://www.regavim.org/support-us/,Official donation page names U.S. EIN and receiving vehicle.
org,The Regavim Policy Forum,U.S. receiving vehicle,Regavim-linked,United States,501(c)(3) donations,EIN 41-2923371; Woodmere NY,verified-direct,0.99,https://www.regavim.org/support-us/,"Officers, grants, and related-party transactions unresolved."
org,Nachala Settlement Movement,"Settlement organizing, lobbying, fundraising",Nachala,Israel,English fundraising and partner,Jewish Heritage Project; U.S. entity unresolved,verified-org-level,0.86,https://www.nachalaisrael.org/about,Public team roster is sparse.
org,Amana,Settlement development and construction movement,Amana,Israel,U.S. support graph unresolved,Potential U.S. charity recipients,unresolved,0.74,https://amana.co.il/about-2/,"Need current leadership, subsidiaries, and U.S. financial paths."
org,Hashomer Yosh,Farm and grazing-area volunteer/support organization,Hashomer Yosh,Israel,U.S. support graph unresolved,Unknown,unresolved,0.72,https://hashomeryosh.org/home-en/?d=ltr,Keep distinct from HaShomer HaChadash.
org,Zionist Organization of America,U.S. advocacy organization,ZOA,United States,Congressional testimony and source amplification,House Foreign Affairs; AFJS; Regavim,verified-direct,0.99,https://docs.house.gov/meetings/FA/FA13/20251210/118734/HHRG-119-FA13-Wstate-KleinM-20251210.pdf,Coordination beyond source use not established.
org,U.S. Israel Education Association,Congressional education and travel,USIEA,United States,Privately financed trips,Members of Congress; settlement destinations,verified-direct,0.94,https://www.reuters.com/world/middle-east/israeli-settlers-court-republican-religious-right-after-hamas-attacks-2024-07-20/,Trip-level ethics disclosures needed.
org,Keep God's Land,Jewish-Christian advocacy coalition,Keep God's Land,United States/Israel,Religious media and policy events,Heritage Foundation; Republican audiences,verified-direct,0.94,https://www.reuters.com/world/middle-east/israeli-settlers-court-republican-religious-right-after-hamas-attacks-2024-07-20/,Claimed membership roster and funders unresolved.
org,Central Fund of Israel,U.S. charitable conduit,Central Fund of Israel,United States,Tax-deductible grants,Israeli charities; recipient-level links unresolved,verified-structure,0.87,https://projects.propublica.org/nonprofits/organizations/132992985,Do not infer a grant to a named organization without Schedule I or equivalent evidence.
org,One Israel Fund,U.S. support organization,One Israel Fund,United States,Tax-exempt fundraising and projects,Judea and Samaria communities,verified-structure,0.85,https://projects.propublica.org/nonprofits/organizations/113195338,Project-recipient and vendor reconciliation required.
org,Hebron Fund,U.S. support organization,Hebron Fund,United States,Tax-exempt fundraising and grants,Hebron recipients,verified-structure,0.91,https://projects.propublica.org/nonprofits/organizations/112623719,Grant-level Israeli endpoints require normalization.
org,American Friends of Ateret Cohanim,U.S. support organization,American Friends of Ateret Cohanim,United States,Tax-exempt fundraising,Ateret Cohanim-related institutions,verified-structure,0.82,https://www.charitynavigator.org/ein/112706563,Current Form 990 and Israeli legal-entity reconciliation required.
